date,measure_key,measure_label,unit,value,flag
1995-07-05,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,165.8181818,
1995-07-05,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,84.92,
1995-07-06,deaths_1995,"Daily deaths, 1995",deaths,152,
1995-07-06,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,159.8181818,
1995-07-06,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,78.08,
1995-07-07,deaths_1995,"Daily deaths, 1995",deaths,157,
1995-07-07,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,162.9090909,
1995-07-07,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,78.98,
1995-07-08,deaths_1995,"Daily deaths, 1995",deaths,170,
1995-07-08,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,163,
1995-07-08,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,84.02,
1995-07-09,deaths_1995,"Daily deaths, 1995",deaths,150,
1995-07-09,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,159,
1995-07-09,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,84.02,
1995-07-10,deaths_1995,"Daily deaths, 1995",deaths,186,
1995-07-10,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,154.4545455,
1995-07-10,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.08,
1995-07-11,deaths_1995,"Daily deaths, 1995",deaths,192,
1995-07-11,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,159.8181818,
1995-07-11,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.06,
1995-07-12,deaths_1995,"Daily deaths, 1995",deaths,160,
1995-07-12,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,160.9090909,
1995-07-12,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,96.98,
1995-07-13,deaths_1995,"Daily deaths, 1995",deaths,178,
1995-07-13,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,161.6363636,
1995-07-13,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,104,
1995-07-14,deaths_1995,"Daily deaths, 1995",deaths,303,
1995-07-14,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,169.7272727,
1995-07-14,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,100.04,
1995-07-15,deaths_1995,"Daily deaths, 1995",deaths,499,
1995-07-15,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,186.0909091,
1995-07-15,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,98.06,
1995-07-16,deaths_1995,"Daily deaths, 1995",deaths,366,
1995-07-16,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,178,
1995-07-16,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,93.02,
1995-07-17,deaths_1995,"Daily deaths, 1995",deaths,305,
1995-07-17,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,180.8181818,
1995-07-17,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.08,
1995-07-18,deaths_1995,"Daily deaths, 1995",deaths,221,
1995-07-18,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,163.8181818,
1995-07-18,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,86,
1995-07-19,deaths_1995,"Daily deaths, 1995",deaths,191,
1995-07-19,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,161,
1995-07-19,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.06,
1995-07-20,deaths_1995,"Daily deaths, 1995",deaths,174,
1995-07-20,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,160.3636364,
1995-07-20,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,78.98,
1995-07-21,deaths_1995,"Daily deaths, 1995",deaths,149,
1995-07-21,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,153.0909091,
1995-07-21,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,84.92,
1995-07-22,deaths_1995,"Daily deaths, 1995",deaths,149,
1995-07-22,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,151.1818182,
1995-07-22,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,84.92,
1995-07-23,deaths_1995,"Daily deaths, 1995",deaths,163,
1995-07-23,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,159.7272727,
1995-07-23,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.08,
1995-07-24,deaths_1995,"Daily deaths, 1995",deaths,172,
1995-07-24,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,168.0909091,
1995-07-24,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.06,
1995-07-25,deaths_1995,"Daily deaths, 1995",deaths,171,
1995-07-25,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,161.7272727,
1995-07-25,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,91.94,
1995-07-26,deaths_1995,"Daily deaths, 1995",deaths,153,
1995-07-26,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,158,
1995-07-26,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.08,
1995-07-27,deaths_1995,"Daily deaths, 1995",deaths,175,
1995-07-27,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,166.2727273,
1995-07-27,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.96,
1995-07-28,deaths_1995,"Daily deaths, 1995",deaths,148,
1995-07-28,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,157.2727273,
1995-07-28,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.06,
1995-07-29,deaths_1995,"Daily deaths, 1995",deaths,177,
1995-07-29,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,164.3636364,
1995-07-29,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,95,
1995-07-30,deaths_1995,"Daily deaths, 1995",deaths,153,
1995-07-30,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,161.3636364,
1995-07-30,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,96.08,
1995-07-31,deaths_1995,"Daily deaths, 1995",deaths,184,
1995-07-31,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,163.5454545,
1995-07-31,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,95,
1995-08-01,deaths_1995,"Daily deaths, 1995",deaths,142,
1995-08-01,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,164.3636364,
1995-08-01,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,80.96,
1995-08-02,deaths_1995,"Daily deaths, 1995",deaths,129,
1995-08-02,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,159.9090909,
1995-08-02,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,78.98,
1995-08-03,deaths_1995,"Daily deaths, 1995",deaths,157,
1995-08-03,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,159,
1995-08-03,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,78.08,
1995-08-04,deaths_1995,"Daily deaths, 1995",deaths,142,
1995-08-04,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,156.1818182,
1995-08-04,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,84.92,
1995-08-05,deaths_1995,"Daily deaths, 1995",deaths,147,
1995-08-05,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,153.5454545,
1995-08-05,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.08,
1995-08-06,deaths_1995,"Daily deaths, 1995",deaths,142,
1995-08-06,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,155.8181818,
1995-08-06,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.98,
1995-08-07,deaths_1995,"Daily deaths, 1995",deaths,154,
1995-08-07,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,160.7272727,
1995-08-07,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,86,
1995-08-08,deaths_1995,"Daily deaths, 1995",deaths,172,
1995-08-08,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,160.2727273,
1995-08-08,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.98,
1995-08-09,deaths_1995,"Daily deaths, 1995",deaths,159,
1995-08-09,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,156.9090909,
1995-08-09,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,80.06,
1995-08-10,deaths_1995,"Daily deaths, 1995",deaths,179,
1995-08-10,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,165.4545455,
1995-08-10,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.06,
1995-08-11,deaths_1995,"Daily deaths, 1995",deaths,160,
1995-08-11,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,163.9090909,
1995-08-11,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,93.02,
1995-08-12,deaths_1995,"Daily deaths, 1995",deaths,166,
1995-08-12,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,164.2727273,
1995-08-12,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,98.06,
1995-08-13,deaths_1995,"Daily deaths, 1995",deaths,189,
1995-08-13,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,162.3636364,
1995-08-13,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,96.08,
1995-08-14,deaths_1995,"Daily deaths, 1995",deaths,190,
1995-08-14,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,158.3636364,
1995-08-14,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,95,
1995-08-15,deaths_1995,"Daily deaths, 1995",deaths,194,
1995-08-15,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,163.4545455,
1995-08-15,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.08,
1995-08-16,deaths_1995,"Daily deaths, 1995",deaths,155,
1995-08-16,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,157.9090909,
1995-08-16,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,93.92,
1995-08-17,deaths_1995,"Daily deaths, 1995",deaths,167,
1995-08-17,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,163.4545455,
1995-08-17,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,93.02,
1995-08-18,deaths_1995,"Daily deaths, 1995",deaths,170,
1995-08-18,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,160.1818182,
1995-08-18,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.96,
1995-08-19,deaths_1995,"Daily deaths, 1995",deaths,148,
1995-08-19,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,158.2727273,
1995-08-19,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.06,
1995-08-20,deaths_1995,"Daily deaths, 1995",deaths,141,
1995-08-20,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,153.4545455,
1995-08-20,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,82.94,
1995-08-21,deaths_1995,"Daily deaths, 1995",deaths,131,
1995-08-21,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,161.2727273,
1995-08-21,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.06,
1995-08-22,deaths_1995,"Daily deaths, 1995",deaths,165,
1995-08-22,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,164.8181818,
1995-08-22,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,82.94,
1995-08-23,deaths_1995,"Daily deaths, 1995",deaths,180,
1995-08-23,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,159.8181818,
1995-08-23,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.98,
1995-08-24,deaths_1995,"Daily deaths, 1995",deaths,164,
1995-08-24,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,163.7272727,
1995-08-24,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,82.04,
1995-08-25,deaths_1995,"Daily deaths, 1995",deaths,155,
1995-08-25,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,160.2727273,
1995-08-25,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.96,
1995-08-26,deaths_1995,"Daily deaths, 1995",deaths,171,
1995-08-26,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,160.9090909,
1995-08-26,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,91.04,
1995-08-27,deaths_1995,"Daily deaths, 1995",deaths,189,
1995-08-27,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,162.3636364,
